UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   55298   Words
   49193   Misrecognized
   11.04%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     953      950     0.31        1
    1280     1273     0.55        2
     422      412     2.37        3
      48       47     2.08        4
    2703     2682     0.78    Total

Non-stopwords
   Count   Missed   %Right   Length
    4657     3174    31.84        1
   12115     9657    20.29        2
   13460    12312     8.53        3
    7005     6624     5.44        4
    5851     5533     5.43        5
    3597     3458     3.86        6
    2297     2215     3.57        7
    1497     1458     2.61        8
    1002      984     1.80        9
     525      515     1.90       10
     301      298     1.00       11
     132      129     2.27       12
      88       87     1.14       13
      17       17     0.00       14
      43       42     2.33       15
       8        8     0.00       16
   52595    46511    11.57    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   23726    22663     4.48        1
    3431     2996    12.68        2
    1580     1212    23.29        3
     694      449    35.30        4
     551      302    45.19        5
     329      174    47.11        6
     216      119    44.91        7
     130       41    68.46        8
     158       40    74.68        9
      98        4    95.92       10
     355       44    87.61      >10
   31268    28044    10.31    Total

Phrases
   Count   Missed   %Right   Length
   55298    49193    11.04        1
   55132    54022     2.01        2
   54966    54698     0.49        3
   54800    54711     0.16        4
   54634    54600     0.06        5
   54468    54453     0.03        6
   54302    54297     0.01        7
   54136    54134     0.00        8

Stopwords
   Count   Missed   %Right   
      18       18     0.00   a
      36       30    16.67   all
      18       18     0.00   an
    1165     1162     0.26   at
       9        9     0.00   for
     935      932     0.32   i
      36       35     2.78   in
     314      310     1.27   man
      18       17     5.56   me
      63       63     0.00   see
      16       14    12.50   to
      27       27     0.00   up
      48       47     2.08   will

Non-stopwords
   Count   Missed   %Right   
      26       26     0.00   ack
       9        9     0.00   ackt
      18       18     0.00   adam
      18       18     0.00   adel
       9        9     0.00   adeliga
       9        9     0.00   adelsman
       9        9     0.00   adelsmã
       9        9     0.00   advocater
     438      437     0.23   af
       9        9     0.00   afdelningar
       8        8     0.00   affairer
       9        9     0.00   affã
       9        9     0.00   afguda
       7        7     0.00   afhã
       7        7     0.00   aflã
       9        8    11.11   afsides
       8        8     0.00   afsikter
      17       17     0.00   akt
      17       16     5.88   aldeles
      62       60     3.23   aldrig
       9        9     0.00   alfwarsamt
      98       94     4.08   alla
      16       15     6.25   allena
      42       40     4.76   allenast
      18       17     5.56   allmã
       8        7    12.50   allt
      18       17     5.56   allting
       9        9     0.00   alshã
      17       16     5.88   alsintet
       9        9     0.00   alstrare
     123      122     0.81   alt
       9        8    11.11   alterationer
       8        8     0.00   altid
       9        9     0.00   altifrã
       7        7     0.00   altsã
       7        7     0.00   alwarsam
      18       18     0.00   alwarsamt
       9        9     0.00   amsterdam
       8        7    12.50   anatomizerandes
       9        8    11.11   andades
       9        9     0.00   andelig
      92       82    10.87   andra
      10        8    20.00   andras
       9        8    11.11   anfã
       1        0   100.00   angelã
       9        9     0.00   angenã
      19       16    15.79   angã
       9        9     0.00   anledning
      15       15     0.00   annan
     124      117     5.65   annat
       7        6    14.29   annorstã
      27       27     0.00   ansee
      53       53     0.00   anseende
       9        9     0.00   anseenlig
       9        9     0.00   anseenligare
       9        9     0.00   ansenligen
       9        9     0.00   anstallt
       1        1     0.00   antaga
       9        7    22.22   antingen
      18       18     0.00   arbeta
       8        8     0.00   arbeten
      63       63     0.00   argus
       7        7     0.00   aristoteles
       1        1     0.00   ark
       7        7     0.00   arken
       9        9     0.00   arket
       9        9     0.00   arm
       8        8     0.00   artigt
       7        7     0.00   arts
       9        9     0.00   aslaug
      27       27     0.00   assecurans
       9        8    11.11   atland
       9        9     0.00   auctorer
       8        8     0.00   auscultant
       7        7     0.00   authoritet
       9        9     0.00   bad
       8        8     0.00   banqueroute
       9        9     0.00   bara
      54       53     1.85   barn
       9        9     0.00   baroner
       9        9     0.00   beder
       8        8     0.00   bedia
       8        8     0.00   bedrager
       9        9     0.00   bedt
       9        9     0.00   befodra
       9        9     0.00   befordran
       7        7     0.00   begabba
       9        9     0.00   begabbare
       7        7     0.00   begabbat
      10       10     0.00   begge
       9        8    11.11   beggedera
      16       16     0.00   begripa
       9        9     0.00   begynna
       9        9     0.00   begã
       9        9     0.00   behag
       9        9     0.00   behaga
       9        9     0.00   behagade
       9        9     0.00   behagar
       9        9     0.00   behageligit
      26       25     3.85   behã
       7        6    14.29   bekant
       9        9     0.00   beklaga
       8        8     0.00   beklagan
       8        7    12.50   bekrã
      18       18     0.00   bekymra
      18       18     0.00   bekymrar
      17       16     5.88   belã
       9        9     0.00   benediction
       9        8    11.11   berg
       9        9     0.00   bergslagen
      27       25     7.41   berã
      16       16     0.00   beskaffenhet
       9        9     0.00   beskã
       9        9     0.00   besparas
      14       14     0.00   bestyrka
      17       16     5.88   bestã
       9        9     0.00   beswara
       9        8    11.11   beswã
       8        8     0.00   besynnerligen
       9        9     0.00   betalar
       1        1     0.00   bete
       8        8     0.00   betiening
       8        7    12.50   betient
      18       18     0.00   betiã
       9        9     0.00   betrackta
       9        9     0.00   betracktelsen
       9        9     0.00   bettar
       1        0   100.00   betã
       9        9     0.00   beurse
       7        6    14.29   bewiste
       9        9     0.00   bewjste
      17       17     0.00   bewã
       9        8    11.11   bibehã
       9        9     0.00   bidraga
       9        9     0.00   billiga
       7        6    14.29   bitande
       8        8     0.00   bittida
       7        7     0.00   biuda
      16       14    12.50   bland
       9        9     0.00   blanden
      53       51     3.77   blef
       8        8     0.00   blefwen
      45       45     0.00   bli
       9        8    11.11   blid
