UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   55298   Words
   46644   Misrecognized
   15.65%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     953      674    29.28        1
    1280      859    32.89        2
     422      384     9.00        3
      48       45     6.25        4
    2703     1962    27.41    Total

Non-stopwords
   Count   Missed   %Right   Length
    4657     2641    43.29        1
   12115     9499    21.59        2
   13460    11499    14.57        3
    7005     6476     7.55        4
    5851     5453     6.80        5
    3597     3413     5.12        6
    2297     2196     4.40        7
    1497     1444     3.54        8
    1002      975     2.69        9
     525      509     3.05       10
     301      295     1.99       11
     132      128     3.03       12
      88       87     1.14       13
      17       17     0.00       14
      43       42     2.33       15
       8        8     0.00       16
   52595    44682    15.05    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   23726    22087     6.91        1
    3431     2815    17.95        2
    1580     1090    31.01        3
     694      384    44.67        4
     551      238    56.81        5
     329      160    51.37        6
     216      101    53.24        7
     130       50    61.54        8
     158       42    73.42        9
      98        2    97.96       10
     355       19    94.65      >10
   31268    26988    13.69    Total

Phrases
   Count   Missed   %Right   Length
   55298    46644    15.65        1
   55132    52266     5.20        2
   54966    53514     2.64        3
   54800    53926     1.59        4
   54634    54100     0.98        5
   54468    54146     0.59        6
   54302    54092     0.39        7
   54136    53993     0.26        8

Stopwords
   Count   Missed   %Right   
      18       14    22.22   a
      36       32    11.11   all
      18       16    11.11   an
    1165      763    34.51   at
       9        9     0.00   for
     935      660    29.41   i
      36       25    30.56   in
     314      280    10.83   man
      18       17     5.56   me
      63       63     0.00   see
      16       14    12.50   to
      27       24    11.11   up
      48       45     6.25   will

Non-stopwords
   Count   Missed   %Right   
      26       24     7.69   ack
       9        9     0.00   ackt
      18       17     5.56   adam
      18       17     5.56   adel
       9        9     0.00   adeliga
       9        9     0.00   adelsman
       9        8    11.11   adelsmã
       9        9     0.00   advocater
     438      369    15.75   af
       9        9     0.00   afdelningar
       8        8     0.00   affairer
       9        9     0.00   affã
       9        9     0.00   afguda
       7        6    14.29   afhã
       7        7     0.00   aflã
       9        9     0.00   afsides
       8        8     0.00   afsikter
      17       16     5.88   akt
      17       16     5.88   aldeles
      62       58     6.45   aldrig
       9        9     0.00   alfwarsamt
      98       87    11.22   alla
      16       15     6.25   allena
      42       42     0.00   allenast
      18       18     0.00   allmã
       8        7    12.50   allt
      18       17     5.56   allting
       9        9     0.00   alshã
      17       17     0.00   alsintet
       9        9     0.00   alstrare
     123      110    10.57   alt
       9        8    11.11   alterationer
       8        7    12.50   altid
       9        8    11.11   altifrã
       7        7     0.00   altsã
       7        7     0.00   alwarsam
      18       18     0.00   alwarsamt
       9        9     0.00   amsterdam
       8        7    12.50   anatomizerandes
       9        8    11.11   andades
       9        9     0.00   andelig
      92       82    10.87   andra
      10        8    20.00   andras
       9        8    11.11   anfã
       1        0   100.00   angelã
       9        9     0.00   angenã
      19       17    10.53   angã
       9        9     0.00   anledning
      15       13    13.33   annan
     124      117     5.65   annat
       7        7     0.00   annorstã
      27       27     0.00   ansee
      53       53     0.00   anseende
       9        9     0.00   anseenlig
       9        9     0.00   anseenligare
       9        9     0.00   ansenligen
       9        9     0.00   anstallt
       1        0   100.00   antaga
       9        8    11.11   antingen
      18       17     5.56   arbeta
       8        8     0.00   arbeten
      63       57     9.52   argus
       7        7     0.00   aristoteles
       1        1     0.00   ark
       7        6    14.29   arken
       9        9     0.00   arket
       9        9     0.00   arm
       8        8     0.00   artigt
       7        7     0.00   arts
       9        8    11.11   aslaug
      27       27     0.00   assecurans
       9        8    11.11   atland
       9        9     0.00   auctorer
       8        8     0.00   auscultant
       7        7     0.00   authoritet
       9        9     0.00   bad
       8        7    12.50   banqueroute
       9        8    11.11   bara
      54       49     9.26   barn
       9        9     0.00   baroner
       9        9     0.00   beder
       8        7    12.50   bedia
       8        7    12.50   bedrager
       9        8    11.11   bedt
       9        9     0.00   befodra
       9        8    11.11   befordran
       7        7     0.00   begabba
       9        9     0.00   begabbare
       7        7     0.00   begabbat
      10        8    20.00   begge
       9        8    11.11   beggedera
      16       14    12.50   begripa
       9        8    11.11   begynna
       9        9     0.00   begã
       9        8    11.11   behag
       9        9     0.00   behaga
       9        9     0.00   behagade
       9        9     0.00   behagar
       9        9     0.00   behageligit
      26       25     3.85   behã
       7        7     0.00   bekant
       9        8    11.11   beklaga
       8        8     0.00   beklagan
       8        7    12.50   bekrã
      18       18     0.00   bekymra
      18       16    11.11   bekymrar
      17       16     5.88   belã
       9        9     0.00   benediction
       9        8    11.11   berg
       9        9     0.00   bergslagen
      27       23    14.81   berã
      16       16     0.00   beskaffenhet
       9        9     0.00   beskã
       9        9     0.00   besparas
      14       14     0.00   bestyrka
      17       17     0.00   bestã
       9        9     0.00   beswara
       9        9     0.00   beswã
       8        8     0.00   besynnerligen
       9        8    11.11   betalar
       1        0   100.00   bete
       8        8     0.00   betiening
       8        7    12.50   betient
      18       17     5.56   betiã
       9        8    11.11   betrackta
       9        9     0.00   betracktelsen
       9        9     0.00   bettar
       1        0   100.00   betã
       9        9     0.00   beurse
       7        7     0.00   bewiste
       9        9     0.00   bewjste
      17       16     5.88   bewã
       9        8    11.11   bibehã
       9        9     0.00   bidraga
       9        9     0.00   billiga
       7        6    14.29   bitande
       8        8     0.00   bittida
       7        7     0.00   biuda
      16       14    12.50   bland
       9        9     0.00   blanden
      53       49     7.55   blef
       8        8     0.00   blefwen
      45       37    17.78   bli
       9        8    11.11   blid
       8        8     0.00   blida
      35       32     8.57   blifwa
       7        7     0.00   blifwer
      16       15     6.25   blifwit
       8        7    12.50   blijade
       9        8    11.11   blindning
       8        8     0.00   blinkande
      18       16    11.11   blir
       9        9     0.00   blodrã
      17       16     5.88   blott
      27       26     3.70   blã
      17       15    11.76   bo
       9        8    11.11   bod
       8        8     0.00   boden
       8        7    12.50   boileaus
       9        8    11.11   bokflit
      18       16    11.11   bokhã
      17       15    11.76   boklã
       9        8    11.11   bokwett
       9        9     0.00   bond
       9        9     0.00   boning
       9        8    11.11   boo
       9        8    11.11   bord
       9        9     0.00   bordt
      26       25     3.85   bort
       9        8    11.11   borttappad
       8        8     0.00   boskapen
       9        9     0.00   botandes
       9        9     0.00   bra
       8        7    12.50   bragd
       9        9     0.00   brede
      36       35     2.78   bref
       9        8    11.11   bringa
       9        9     0.00   brister
      36       32    11.11   bruka
       9        8    11.11   brukens
       9        8    11.11   bry
       9        9     0.00   bryr
      24       21    12.50   brã
       9        9     0.00   bugade
       9        9     0.00   bur
       8        8     0.00   bussar
       7        6    14.29   bygga
       9        9     0.00   bygger
       9        9     0.00   byggningar
     212      174    17.92   bã
       9        9     0.00   camererare
       8        8     0.00   cammar
       9        8    11.11   cammare
       8        8     0.00   cammartienaren
       9        9     0.00   cammerer
      18       16    11.11   capital
       9        9     0.00   capitaler
       9        9     0.00   caracterizerade
       8        8     0.00   caritã
       9        8    11.11   chicane
       9        9     0.00   citerade
       9        8    11.11   cka
       9        9     0.00   ckandes
       9        8    11.11   ckare
       9        8    11.11   ckelig
       8        7    12.50   ckligen
       8        8     0.00   ckt
       8        7    12.50   ckta
       9        8    11.11   cktig
       9        8    11.11   cktige
       9        8    11.11   colonierne
       9        9     0.00   commercens
       9        9     0.00   commissionairer
       8        8     0.00   compagnie
       9        9     0.00   confusion
       9        8    11.11   contoir
       8        8     0.00   contoiret
       9        8    11.11   contoirs
       9        9     0.00   contraparters
       9        8    11.11   copia
       8        8     0.00   correspondencer
       9        9     0.00   correspondera
       9        9     0.00   costi
       9        9     0.00   creatur
       8        7    12.50   credit
       9        8    11.11   creditens
       9        9     0.00   credits
       8        8     0.00   curieusa
      52       44    15.38   d
      62       57     8.06   da
       9        8    11.11   dade
      17       16     5.88   dag
      17       16     5.88   dagen
       9        9     0.00   daler
      24       21    12.50   dan
       8        7    12.50   dana
      45       40    11.11   dane
       9        9     0.00   dansade
      80       71    11.25   dant
       8        8     0.00   dantza
       9        8    11.11   daterat
      18       16    11.11   dd
     636      478    24.84   de
       8        7    12.50   debet
      62       57     8.06   del
       9        8    11.11   delen
     193      168    12.95   dem
     387      307    20.67   den
      44       41     6.82   denna
      89       80    10.11   der
      18       17     5.56   deraf
      73       67     8.22   deras
      27       26     3.70   deremot
      25       22    12.00   derfã
      16       16     0.00   derigenom
       9        8    11.11   derna
       7        6    14.29   dernes
       9        8    11.11   dernesland
       9        9     0.00   derneslands
      27       24    11.11   derom
      35       31    11.43   derpã
       7        7     0.00   dertil
      18       16    11.11   deruti
       9        8    11.11   derwid
      24       21    12.50   derã
      16       14    12.50   des
       9        9     0.00   desidereras
       8        8     0.00   desinteressement
      71       71     0.00   dess
      33       33     0.00   dessa
      44       44     0.00   desse
      25       25     0.00   dessutan
     532      408    23.31   det
     123      106    13.82   detta
      18       17     5.56   dgas
      16       14    12.50   dia
       9        8    11.11   diamanter
       1        1     0.00   die
      23       21     8.70   dig
      27       24    11.11   digt
       9        9     0.00   dikt
       9        8    11.11   diktar
       9        9     0.00   dimban
       9        9     0.00   disputer
       9        9     0.00   dit
      18       18     0.00   diuret
       9        9     0.00   diurgã
       9        8    11.11   djt
      17       14    17.65   dla
       9        9     0.00   dlare
       9        9     0.00   dlidandes
       9        8    11.11   dman
       8        7    12.50   dmiuk
      18       17     5.56   dning
       9        9     0.00   dningar
       8        7    12.50   doch
      51       45    11.76   dock
       9        9     0.00   doctor
       7        6    14.29   dogmatice
      10        9    10.00   domare
       8        8     0.00   domaren
       9        9     0.00   domares
       9        9     0.00   domen
