UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   76838   Words
   52755   Misrecognized
   31.34%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    1259      871    30.82        1
    1263      720    42.99        2
     558      346    37.99        3
     351      248    29.34        4
    3431     2185    36.32    Total

Non-stopwords
   Count   Missed   %Right   Length
   12369     5455    55.90        1
   22300    17338    22.25        2
   13160     8753    33.49        3
    8479     6220    26.64        4
    6392     4660    27.10        5
    4490     3343    25.55        6
    2658     1993    25.02        7
    1590     1247    21.57        8
     893      697    21.95        9
     527      429    18.60       10
     295      231    21.69       11
     170      138    18.82       12
      58       45    22.41       13
       9        5    44.44       14
      10        9    10.00       15
       7        7     0.00       16
   73407    50570    31.11    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   26569    19279    27.44        1
    4538     2730    39.84        2
    1594      783    50.88        3
     872      389    55.39        4
     426      151    64.55        5
     342      123    64.04        6
     264       60    77.27        7
     157       34    78.34        8
     119       16    86.55        9
     109       29    73.39       10
     905      336    62.87      >10
   35895    23930    33.33    Total

Phrases
   Count   Missed   %Right   Length
   76838    52755    31.34        1
   76639    61551    19.69        2
   76440    65227    14.67        3
   76241    67372    11.63        4
   76042    68881     9.42        5
   75843    69962     7.75        6
   75644    70775     6.44        7
   75445    71381     5.39        8

Stopwords
   Count   Missed   %Right   
     204      123    39.71   a
      39       29    25.64   all
      83       57    31.33   an
      16       13    18.75   are
      13       11    15.38   as
     807      439    45.60   at
      17       12    29.41   be
       1        1     0.00   by
       1        1     0.00   do
       6        3    50.00   for
       5        5     0.00   get
       1        0   100.00   he
       4        4     0.00   her
       6        5    16.67   him
    1055      748    29.10   i
     197      108    45.18   in
      18       16    11.11   is
      28       19    32.14   it
       4        4     0.00   long
     269      158    41.26   man
      12       12     0.00   may
      19       15    21.05   me
       4        4     0.00   no
       1        0   100.00   of
      35       15    57.14   on
       9        4    55.56   or
       5        4    20.00   so
       8        7    12.50   than
     200      116    42.00   the
      89       57    35.96   them
     250      180    28.00   then
       2        0   100.00   to
       1        1     0.00   too
      13        7    46.15   up
       3        2    33.33   us
       6        5    16.67   we

Non-stopwords
   Count   Missed   %Right   
       4        1    75.00   aak
       2        1    50.00   ab
       1        0   100.00   abjicite
       5        5     0.00   abå
       2        2     0.00   academia
       1        0   100.00   academien
       1        0   100.00   accenditur
       4        4     0.00   accã
       1        0   100.00   achille
      16       14    12.50   acht
       4        3    25.00   achtar
       4        3    25.00   achtas
       3        3     0.00   achtat
       1        0   100.00   achte
       1        0   100.00   achtmodig
       3        2    33.33   achtning
       4        3    25.00   acidul
       8        6    25.00   ack
       2        2     0.00   aconitum
       4        3    25.00   acuerande
       3        2    33.33   ad
       1        1     0.00   adam
      23       18    21.74   ade
       2        1    50.00   adel
       6        5    16.67   adelig
       4        3    25.00   adeln
       1        1     0.00   adels
       1        1     0.00   adelsman
       6        6     0.00   adelã
       1        1     0.00   adjec
       4        4     0.00   adolph
       4        4     0.00   adt
       4        4     0.00   adâ
       4        4     0.00   adå
       4        3    25.00   ae
       3        3     0.00   aeademier
     474      273    42.41   af
      83       72    13.25   aff
       4        4     0.00   affhandlat
       1        1     0.00   affmã
       1        0   100.00   afft
       2        2     0.00   afftagandhe
       4        4     0.00   afftalt
       6        5    16.67   affton
       8        8     0.00   afftonen
       1        1     0.00   affwã
       3        2    33.33   affã
       2        2     0.00   affå
       1        0   100.00   afgiort
       1        0   100.00   afgrund
       1        0   100.00   afgudadyrkare
       1        1     0.00   afgudomen
       1        1     0.00   afhugges
       1        0   100.00   aflif
       2        2     0.00   aflopp
       1        0   100.00   aflã
       2        2     0.00   afras
       2        1    50.00   aft
       4        3    25.00   aften
       1        0   100.00   aftig
       4        3    25.00   aftrã
       6        5    16.67   afwenda
       4        4     0.00   afwendt
       4        4     0.00   afwã
      45       29    35.56   afå
       8        7    12.50   ag
       4        3    25.00   aga
       3        2    33.33   agde
      10        9    10.00   agdt
       1        1     0.00   age
       4        3    25.00   agenors
       4        4     0.00   agens
       4        4     0.00   ager
       2        1    50.00   aggar
       4        4     0.00   agn
       1        0   100.00   agor
       1        1     0.00   agricolari
       4        3    25.00   agrostis
       5        3    40.00   agt
       2        1    50.00   agta
       3        1    66.67   ahen
       1        1     0.00   aia
      20       15    25.00   ak
      10        7    30.00   aka
       3        2    33.33   akar
      15        9    40.00   aken
       1        1     0.00   akens
      20       10    50.00   aker
       5        5     0.00   akerne
       1        0   100.00   akers
       1        0   100.00   akerwepling
       1        0   100.00   aknar
       4        3    25.00   akt
       2        0   100.00   akta
       1        0   100.00   aktå
       7        4    42.86   al
      11        6    45.45   ala
       4        4     0.00   alamodi
       1        0   100.00   alarm
       1        1     0.00   albano
       9        5    44.44   albo
       6        3    50.00   album
       1        1     0.00   alde
      31       22    29.03   aldeles
       1        0   100.00   aldenå
       3        2    33.33   aldrafijna
       5        4    20.00   aldralã
       3        2    33.33   aldraringaå
       3        2    33.33   aldraå
      11        6    45.45   aldrig
       5        5     0.00   aldrigh
       1        1     0.00   alexan
       1        0   100.00   alexandro
       3        2    33.33   alexipharmaca
       1        1     0.00   alffuar
       1        1     0.00   alffwarå
       2        1    50.00   alfware
       2        1    50.00   alfwares
       5        4    20.00   alfwarå
       2        2     0.00   alig
       1        0   100.00   aligh
       1        0   100.00   alighan
      65       40    38.46   alla
       4        4     0.00   allan
       2        2     0.00   allareda
       2        0   100.00   allaå
       4        3    25.00   alldenå
       4        3    25.00   alldrafã
      50       35    30.00   alle
       4        2    50.00   allehanda
       2        1    50.00   allena
      53       36    32.08   allenaå
       1        1     0.00   alleneå
       3        3     0.00   aller
       1        0   100.00   alleå
       1        1     0.00   allium
       6        4    33.33   allmogen
       7        4    42.86   allmã
       5        3    40.00   allom
       3        3     0.00   allpes
       3        3     0.00   allã
       1        1     0.00   alm
       4        4     0.00   almar
       5        5     0.00   almogen
       7        6    14.29   almã
      12        8    33.33   aln
       8        7    12.50   alnar
       5        5     0.00   alnen
       4        3    25.00   alon
       4        4     0.00   alopecurus
       2        1    50.00   alphonå
       1        1     0.00   alrahã
       4        4     0.00   alsmã
       5        4    20.00   alswã
      99       63    36.36   alt
       2        2     0.00   altare
       4        3    25.00   altet
       1        0   100.00   altfã
      19       14    26.32   altid
       1        0   100.00   altig
      20       14    30.00   altijd
       4        4     0.00   altijdh
       2        2     0.00   altljd
       3        3     0.00   altwad
      25       16    36.00   altå
       1        1     0.00   alus
       4        4     0.00   alva
       2        2     0.00   alzmã
       4        2    50.00   alã
      32       22    31.25   am
       4        3    25.00   ama
       1        1     0.00   amaryllis
       1        0   100.00   ambla
       4        4     0.00   ambling
       1        1     0.00   ambra
       1        1     0.00   ambt
      10        7    30.00   ame
       1        0   100.00   amer
       1        1     0.00   america
       1        1     0.00   ameringar
       4        4     0.00   amfã
       1        0   100.00   amhet
       1        1     0.00   ami
       1        1     0.00   amica
       3        1    66.67   amla
       4        4     0.00   amlade
       1        1     0.00   amlar
