UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  302760   Characters
  112241   Errors
   62.93%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   62.93%  Accuracy After Correction

     Ins    Subst      Del   Errors
       0        0        0        0   Marked
   22337    62502    27402   112241   Unmarked
   22337    62502    27402   112241   Total

   Count   Missed   %Right
   47721     8072    83.09   ASCII Spacing Characters
   11859     7517    36.61   ASCII Special Symbols
    2278     1091    52.11   ASCII Digits
    8407     2088    75.16   ASCII Uppercase Letters
  192073    37393    80.53   ASCII Lowercase Letters
     848      515    39.27   Latin1 Control Codes
   19451    14700    24.43   Latin1 Special Symbols
   19926    13305    33.23   Latin1 Uppercase Letters
     197      158    19.80   Latin1 Lowercase Letters
  302760    84839    71.98   Total

  Errors   Marked   Correct-Generated
    8306        0   {ſ}-{s}
    1750        0   {ä}-{a}
    1677        0   { }-{}
    1044        0   {ſ}-{f}
     816        0   {ö}-{o}
     745        0   {=}-{-}
     684        0   {å}-{a}
     648        0   {�}-{�}
     610        0   {}-{-}
     610        0   {}-{s}
     596        0   {/}-{-}
     470        0   {}-{«}
     423        0   {ſk}-{st}
     416        0   {�}-{�}
     371        0   {t}-{r}
     345        0   { ſ}-{s}
     312        0   {}-{ }
     299        0   {i}-{t}
     293        0   {t}-{k}
     274        0   {f}-{s}
     267        0   {}-{« }
     260        0   {/}-{ -}
     248        0   {}-{»}
     232        0   {l}-{t}
     230        0   {}-{·}
     228        0   {ſå}-{sa}
     222        0   {ff}-{ss}
     215        0   {/}-{x}
     209        0   { }-{-}
     207        0   {t}-{e}
     198        0   {ſt}-{si}
     192        0   {r}-{t}
     188        0   {e}-{c}
     183        0   {}-{.}
     182        0   {t}-{c}
     176        0   {äſ}-{as}
     176        0   {ſſ}-{ss}
     173        0   { }-{s}
     167        0   {r}-{k}
     164        0   {}-{- }
     160        0   {d}-{BO�<86><\n>.- ,1 LP<\n>1...}
     160        0   {ſ}-{i}
     151        0   {B}-{Tstx , , , ZX , fy , DJ...}
     149        0   {i}-{j}
     144        0   {w}-{tv}
     144        0   {ſk}-{si}
     140        0   {en}-{m}
     140        0   {w}-{iv}
     138        0   {}-{ «}
     137        0   {.}-{}
     135        0   {l}-{i}
     130        0   {ö}-{d}
     126        0   {/ }-{x}
     125        0   {u}-{n}
     106        0   {/ }-{-}
     106        0   {}-{<\n>J« » . . : , . . s...}
     102        0   {in}-{m}
     101        0   {i}-{l}
     101        0   {}-{j -<\n>«,, ».s .I«!s�...}
     100        0   {h}-{b}
     100        0   {ſä}-{sa}
      96        0   {a_e}-{æ}
      96        0   {}-{i}
      93        0   {}-{�<80><94>}
      92        0   {}-{�<80><94> }
      90        0   { }-{«}
      90        0   {}-{» }
      89        0   {r}-{x}
      89        0   {}-{,}
      89        0   {}-{k}
