UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   65227   Words
   55560   Misrecognized
   14.82%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     876      481    45.09        1
    1348      959    28.86        2
     615      442    28.13        3
     324      245    24.38        4
    3163     2127    32.75    Total

Non-stopwords
   Count   Missed   %Right   Length
   12149    10638    12.44        1
   12563    11222    10.67        2
   12655     9842    22.23        3
    8110     7054    13.02        4
    6246     5410    13.38        5
    4411     3887    11.88        6
    2555     2288    10.45        7
    1491     1365     8.45        8
     913      835     8.54        9
     508      469     7.68       10
     263      239     9.13       11
     130      121     6.92       12
      45       40    11.11       13
      12       10    16.67       14
      10       10     0.00       15
       3        3     0.00       16
   62064    53433    13.91    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   25884    22940    11.37        1
    4231     3134    25.93        2
    1632     1048    35.78        3
     798      437    45.24        4
     443      236    46.73        5
     294      131    55.44        6
     225      103    54.22        7
     149       67    55.03        8
     102       44    56.86        9
      67       25    62.69       10
     563      385    31.62      >10
   34388    28550    16.98    Total

Phrases
   Count   Missed   %Right   Length
   65227    55560    14.82        1
   65029    61922     4.78        2
   64831    63539     1.99        3
   64633    64074     0.86        4
   64435    64203     0.36        5
   64237    64150     0.14        6
   64039    64005     0.05        7
   63841    63829     0.02        8

Stopwords
   Count   Missed   %Right   
     180      103    42.78   a
      43       33    23.26   all
      79       56    29.11   an
      10       10     0.00   are
      14       14     0.00   as
     792      472    40.40   at
      35       21    40.00   be
       1        1     0.00   been
       2        2     0.00   by
       4        4     0.00   do
       6        5    16.67   for
       4        4     0.00   get
       5        4    20.00   he
       5        5     0.00   her
       3        2    33.33   him
     696      378    45.69   i
       1        1     0.00   if
     231      212     8.23   in
      13       13     0.00   is
      35       35     0.00   it
       3        1    66.67   like
       2        2     0.00   long
     303      199    34.32   man
       9        9     0.00   may
      21       16    23.81   me
       5        2    60.00   more
       4        4     0.00   no
       3        3     0.00   of
      44       43     2.27   on
