UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   65227   Words
   47583   Misrecognized
   27.05%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     876      548    37.44        1
    1348      859    36.28        2
     615      271    55.93        3
     324      195    39.81        4
    3163     1873    40.78    Total

Non-stopwords
   Count   Missed   %Right   Length
   12149    10802    11.09        1
   12563    10319    17.86        2
   12655     7639    39.64        3
    8110     5603    30.91        4
    6246     4003    35.91        5
    4411     2988    32.26        6
    2555     1845    27.79        7
    1491     1109    25.62        8
     913      669    26.73        9
     508      374    26.38       10
     263      198    24.71       11
     130      103    20.77       12
      45       36    20.00       13
      12       10    16.67       14
      10        9    10.00       15
       3        3     0.00       16
   62064    45710    26.35    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   25884    18584    28.20        1
    4231     2452    42.05        2
    1632      851    47.86        3
     798      392    50.88        4
     443      206    53.50        5
     294      114    61.22        6
     225       85    62.22        7
     149       61    59.06        8
     102       46    54.90        9
      67       22    67.16       10
     563      387    31.26      >10
   34388    23200    32.53    Total

Phrases
   Count   Missed   %Right   Length
   65227    47583    27.05        1
   65029    58134    10.60        2
   64831    62008     4.35        3
   64633    63413     1.89        4
   64435    63888     0.85        5
   64237    63981     0.40        6
   64039    63907     0.21        7
   63841    63778     0.10        8

Stopwords
   Count   Missed   %Right   
     180      167     7.22   a
      43       14    67.44   all
      79       48    39.24   an
      10        9    10.00   are
      14       14     0.00   as
     792      435    45.08   at
      35       17    51.43   be
       1        1     0.00   been
       2        2     0.00   by
       4        1    75.00   do
       6        1    83.33   for
       4        2    50.00   get
       5        2    60.00   he
       5        1    80.00   her
       3        3     0.00   him
     696      381    45.26   i
       1        1     0.00   if
     231      180    22.08   in
      13       13     0.00   is
      35       35     0.00   it
       3        1    66.67   like
       2        2     0.00   long
     303      113    62.71   man
       9        8    11.11   may
      21       16    23.81   me
       5        0   100.00   more
       4        1    75.00   no
       3        3     0.00   of
      44       43     2.27   on
      19       18     5.26   or
       3        1    66.67   so
       2        2     0.00   than
     230      118    48.70   the
      80       54    32.50   them
     226      132    41.59   then
      10        9    10.00   to
       1        1     0.00   too
      14        5    64.29   up
      13       13     0.00   us
       1        1     0.00   was
       6        2    66.67   we
       5        3    40.00   will

Non-stopwords
   Count   Missed   %Right   
       4        4     0.00   aak
       2        1    50.00   ab
       1        1     0.00   abbotiã
       1        1     0.00   abeth
       1        0   100.00   abietis
       1        0   100.00   abjicite
       1        1     0.00   ablad
       1        0   100.00   abrotani
       3        3     0.00   abå
       1        1     0.00   ac
       1        1     0.00   academia
       1        1     0.00   academien
       1        0   100.00   accenditur
       1        1     0.00   accurat
       2        2     0.00   accã
       1        1     0.00   achille
      13        8    38.46   acht
       2        2     0.00   achta
       3        2    33.33   achtar
       2        2     0.00   achtas
       1        1     0.00   achtat
       1        1     0.00   achte
       1        0   100.00   achtig
       1        1     0.00   achtigt
       1        1     0.00   achtmodig
       1        1     0.00   achtmodige
       1        1     0.00   achtning
       1        1     0.00   achtå
       1        0   100.00   acidul
       5        5     0.00   ack
