UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   53955   Words
   34071   Misrecognized
   36.85%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    1042      777    25.43        1
    1171      678    42.10        2
     318      173    45.60        3
      85       60    29.41        4
    2616     1688    35.47    Total

Non-stopwords
   Count   Missed   %Right   Length
    4117     2706    34.27        1
   11594     7132    38.49        2
   13647     7614    44.21        3
    6619     4120    37.75        4
    5757     3657    36.48        5
    3582     2452    31.55        6
    2314     1703    26.40        7
    1513     1157    23.53        8
     972      800    17.70        9
     541      455    15.90       10
     357      291    18.49       11
     167      144    13.77       12
      87       83     4.60       13
      32       30     6.25       14
      24       24     0.00       15
      12       11     8.33       16
       2        2     0.00       17
       1        1     0.00       18
       1        1     0.00       19
   51339    32383    36.92    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   23777    16292    31.48        1
    3533     1472    58.34        2
    1342      372    72.28        3
     735      125    82.99        4
     516       72    86.05        5
     303       31    89.77        6
     226       14    93.81        7
     158        9    94.30        8
     135        6    95.56        9
     100        5    95.00       10
     304        2    99.34      >10
   31129    18400    40.89    Total

Phrases
   Count   Missed   %Right   Length
   53955    34071    36.85        1
   53782    43024    20.00        2
   53609    47566    11.27        3
   53436    50014     6.40        4
   53263    51313     3.66        5
   53090    51980     2.09        6
   52917    52257     1.25        7
   52744    52353     0.74        8

Stopwords
   Count   Missed   %Right   
      12        6    50.00   a
      36       22    38.89   all
       9        5    44.44   an
    1071      620    42.11   at
       1        0   100.00   be
       1        0   100.00   do
       2        0   100.00   for
       1        0   100.00   her
    1030      771    25.15   i
      58       33    43.10   in
       3        3     0.00   just
       1        0   100.00   like
     216      107    50.46   man
       5        5     0.00   may
       2        0   100.00   me
       1        1     0.00   or
      55       37    32.73   see
       3        2    33.33   the
       7        3    57.14   then
       7        5    28.57   to
      21       14    33.33   up
      74       54    27.03   will

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   abaris
       1        1     0.00   abyssiniska
       1        0   100.00   academia
       5        5     0.00   academien
       2        2     0.00   academier
       1        1     0.00   academiska
       1        1     0.00   academiske
       1        1     0.00   accidens
       3        1    66.67   ach
       1        0   100.00   achillis
      16        5    68.75   ack
       1        1     0.00   ackt
       1        1     0.00   actus
       1        1     0.00   ad
      16        8    50.00   adam
       1        0   100.00   adams
       3        1    66.67   adel
       1        1     0.00   adelig
       1        1     0.00   adeliga
       1        1     0.00   adels
       2        2     0.00   adelsman
       1        1     0.00   adelsmã
       2        0   100.00   adliga
       1        1     0.00   adsm
       2        2     0.00   advocat
       2        2     0.00   advocater
       1        1     0.00   advocaters
       1        1     0.00   advocats
     416      207    50.24   af
       1        0   100.00   afbildad
       1        1     0.00   afbildade
       1        1     0.00   afbildar
       1        1     0.00   afbilden
       1        1     0.00   afbã
       1        0   100.00   afdelningar
       2        2     0.00   afdã
       1        1     0.00   affaire
       4        4     0.00   affairer
       1        1     0.00   affairerne
       1        1     0.00   affectation
       1        1     0.00   affectations
       2        2     0.00   affecter
       2        2     0.00   affecterade
       1        1     0.00   affton
       1        0   100.00   afftonward
       1        1     0.00   affã
