UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  263263   Characters
  243767   Errors
    7.41%  Accuracy

     563   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.21%  Characters Marked
   10.15%  Accuracy After Correction

     Ins    Subst      Del   Errors
      56     1571     5610     7237   Marked
   18161   138712    79657   236530   Unmarked
   18217   140283    85267   243767   Total

   Count   Missed   %Right
   43638    13727    68.54   ASCII Spacing Characters
    7388     5657    23.43   ASCII Special Symbols
     342      321     6.14   ASCII Digits
    8008     7345     8.28   ASCII Uppercase Letters
  180639   116818    35.33   ASCII Lowercase Letters
     260      260     0.00   Latin1 Control Codes
   11365     8193    27.91   Latin1 Special Symbols
   11621     6177    46.85   Latin1 Uppercase Letters
       2        2     0.00   Latin1 Lowercase Letters
  263263   158500    39.79   Total

  Errors   Marked   Correct-Generated
    2136     2136   {}-{hesledah. ſom förſt u...}
    1726        0   {s}-{ſ}
    1637     1637   {}-{ſinne, ſdm jag hörer ...}
     664        0   { }-{}
     446        0   {}-{n}
     358        0   {}-{t}
     312        0   {}-{ſ}
     293        0   {}-{r}
     292        0   {}-{a}
     268        0   { s}-{ſ}
     259        0   {}-{,}
     226        0   {n}-{}
     224        0   {}-{ }
     222        0   {�}-{�}
     214        0   {�}-{�}
     197        0   {}-{e}
     182        0   {s}-{}
     173        0   {t}-{}
     171        0   {}-{m}
     170        0   {}-{l}
     166        0   {,}-{}
     160        0   {}-{d}
     147        0   {r}-{}
     146        0   {}-{g}
     140        0   {}-{de}
     134        0   {t}-{n}
     126        0   {e}-{}
     122        0   {a}-{}
     122        0   {}-{h}
     121        0   {r}-{n}
     119        0   {}-{.}
     117        0   {�}-{�}
     116        0   {}-{f}
     112        0   {n}-{t}
     101        0   {}-{s}
      96        0   {g}-{}
      93        0   {d}-{}
      93        0   {n}-{r}
      92        0   {�}-{�}
      91        0   {e}-{a}
      87        0   {}-{w}
      86        0   {t}-{r}
      82        0   {}-{-}
      78        0   {<\n>Han är, min sann, e...}-{}
      78        0   {r}-{t}
      76        0   {l}-{}
      76        0   {}-{oc}
      75        0   {m}-{}
      73        0   {}-{� fräckoch trefwen ut, ...}
      72       72   {}-{�kt Herr btriot (ty om l...}
      72        0   {i}-{}
      70        0   {e}-{c}
      70        0   {h}-{}
      70        0   {}-{i}
      67        0   {a}-{e}
      66       66   {}-{dags ARorgon: Rcdan jag ...}
      66        0   {}-{, ſomlige ducko Min, d,...}
      64       64   {}-{�l hos Er, kan uträttah...}
      64        0   {}-{o}
      63        0   {n}-{g}
      61        0   {g}-{t}
      61        0   {}-{u}
