UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   65227   Words
   46378   Misrecognized
   28.90%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     876      532    39.27        1
    1348      953    29.30        2
     615      448    27.15        3
     324      264    18.52        4
    3163     2197    30.54    Total

Non-stopwords
   Count   Missed   %Right   Length
   12149     4650    61.73        1
   12563     8848    29.57        2
   12655     9500    24.93        3
    8110     6785    16.34        4
    6246     5267    15.67        5
    4411     3823    13.33        6
    2555     2233    12.60        7
    1491     1353     9.26        8
     913      826     9.53        9
     508      467     8.07       10
     263      241     8.37       11
     130      122     6.15       12
      45       42     6.67       13
      12       11     8.33       14
      10       10     0.00       15
       3        3     0.00       16
   62064    44181    28.81    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   25884    21884    15.45        1
    4231     2679    36.68        2
    1632      734    55.02        3
     798      270    66.17        4
     443       99    77.65        5
     294       60    79.59        6
     225       33    85.33        7
     149       15    89.93        8
     102        4    96.08        9
      67        1    98.51       10
     563       13    97.69      >10
   34388    25792    25.00    Total

Phrases
   Count   Missed   %Right   Length
   65227    46378    28.90        1
   65029    54922    15.54        2
   64831    57810    10.83        3
   64633    59313     8.23        4
   64435    60260     6.48        5
   64237    60948     5.12        6
   64039    61440     4.06        7
   63841    61797     3.20        8

Stopwords
   Count   Missed   %Right   
     180       94    47.78   a
      43       33    23.26   all
      79       65    17.72   an
      10        8    20.00   are
      14       10    28.57   as
     792      515    34.97   at
      35       28    20.00   be
       1        1     0.00   been
       2        2     0.00   by
       4        4     0.00   do
       6        5    16.67   for
       4        4     0.00   get
       5        4    20.00   he
       5        5     0.00   her
       3        2    33.33   him
     696      438    37.07   i
       1        1     0.00   if
     231      183    20.78   in
      13       12     7.69   is
      35       20    42.86   it
       3        2    33.33   like
       2        2     0.00   long
     303      203    33.00   man
       9        9     0.00   may
      21       19     9.52   me
       5        4    20.00   more
       4        4     0.00   no
       3        2    33.33   of
      44       28    36.36   on
      19       15    21.05   or
       3        3     0.00   so
       2        2     0.00   than
     230      177    23.04   the
      80       68    15.00   them
     226      182    19.47   then
      10        9    10.00   to
       1        1     0.00   too
      14       10    28.57   up
      13       13     0.00   us
       1        1     0.00   was
       6        6     0.00   we
       5        3    40.00   will

Non-stopwords
   Count   Missed   %Right   
       4        3    25.00   aak
       2        2     0.00   ab
       1        1     0.00   abbotiã
       1        1     0.00   abeth
       1        1     0.00   abietis
       1        1     0.00   abjicite
