UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   53955   Words
   42447   Misrecognized
   21.33%  Accuracy

Stopwords
   Count   Missed   %Right   Length
    1042      713    31.57        1
    1171      713    39.11        2
     318      278    12.58        3
      85       73    14.12        4
    2616     1777    32.07    Total

Non-stopwords
   Count   Missed   %Right   Length
    4117     2126    48.36        1
   11594     8318    28.26        2
   13647    10737    21.32        3
    6619     5648    14.67        4
    5757     5006    13.04        5
    3582     3206    10.50        6
    2314     2124     8.21        7
    1513     1410     6.81        8
     972      922     5.14        9
     541      512     5.36       10
     357      341     4.48       11
     167      163     2.40       12
      87       85     2.30       13
      32       32     0.00       14
      24       24     0.00       15
      12       12     0.00       16
       2        2     0.00       17
       1        1     0.00       18
       1        1     0.00       19
   51339    40670    20.78    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   23777    20717    12.87        1
    3533     2351    33.46        2
    1342      647    51.79        3
     735      277    62.31        4
     516      146    71.71        5
     303       92    69.64        6
     226       46    79.65        7
     158       24    84.81        8
     135       23    82.96        9
     100        8    92.00       10
     304       19    93.75      >10
   31129    24350    21.78    Total

Phrases
   Count   Missed   %Right   Length
   53955    42447    21.33        1
   53782    48105    10.56        2
   53609    50103     6.54        3
   53436    51182     4.22        4
   53263    51796     2.75        5
   53090    52171     1.73        6
   52917    52338     1.09        7
   52744    52391     0.67        8

Stopwords
   Count   Missed   %Right   
      12        8    33.33   a
      36       30    16.67   all
       9        6    33.33   an
    1071      648    39.50   at
       1        0   100.00   be
       1        0   100.00   do
       2        2     0.00   for
       1        1     0.00   her
    1030      705    31.55   i
      58       32    44.83   in
       3        3     0.00   just
       1        1     0.00   like
     216      182    15.74   man
       5        5     0.00   may
       2        2     0.00   me
       1        1     0.00   or
      55       55     0.00   see
       3        3     0.00   the
       7        7     0.00   then
       7        5    28.57   to
      21       19     9.52   up
      74       62    16.22   will

Non-stopwords
   Count   Missed   %Right   
       1        1     0.00   abaris
       1        1     0.00   abyssiniska
       1        1     0.00   academia
       5        5     0.00   academien
       2        2     0.00   academier
