UNLV-ISRI OCR Accuracy Report Version 5.1
-----------------------------------------
  263263   Characters
  253638   Errors
    3.66%  Accuracy

     563   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.21%  Characters Marked
    6.46%  Accuracy After Correction

     Ins    Subst      Del   Errors
      53     1529     5806     7388   Marked
   15548   143043    87659   246250   Unmarked
   15601   144572    93465   253638   Total

   Count   Missed   %Right
   43638    12611    71.10   ASCII Spacing Characters
    7388     6855     7.21   ASCII Special Symbols
     342      325     4.97   ASCII Digits
    8008     7391     7.70   ASCII Uppercase Letters
  180639   118359    34.48   ASCII Lowercase Letters
     260      260     0.00   Latin1 Control Codes
   11365     8174    28.08   Latin1 Special Symbols
   11621     6196    46.68   Latin1 Uppercase Letters
       2        2     0.00   Latin1 Lowercase Letters
  263263   160173    39.16   Total

  Errors   Marked   Correct-Generated
    2210     2210   {}-{hesledah ſom förſt up...}
    1684     1684   {}-{ſinne ſdm jag hörer b...}
    1392        0   {s}-{ſ}
     599        0   { }-{}
     485        0   {}-{n}
     484        0   {,}-{}
     430        0   {}-{t}
     342        0   {}-{ſ}
     313        0   {}-{r}
     312        0   {}-{a}
     285        0   {, s}-{ ſ}
     284        0   {}-{ }
     260        0   { s}-{ſ}
     252        0   {}-{e}
     224        0   {n}-{}
     204        0   {�}-{�}
     197        0   {�}-{�}
     194        0   {}-{d}
     177        0   {}-{g}
     175        0   {}-{m}
     171        0   {s}-{}
     170        0   {}-{l}
     158        0   {}-{de}
     152        0   {n}-{t}
     144        0   {<\n>}-{n ändan at de ſkole be...}
     143        0   {r}-{}
     143        0   {t}-{n}
     139        0   {t}-{}
     135        0   {.}-{}
     132        0   {}-{f}
     128        0   {}-{h}
     124        0   {a}-{}
     116        0   {r}-{n}
     108        0   {e}-{}
     107        0   {}-{s}
     106        0   {<\n>}-{ , , , - , ? , : , : . ,...}
     104        0   {<\n>}-{ , . , . - . , , , , - ,...}
      98        0   {}-{w}
      96        0   {�}-{�}
      94        0   {g}-{}
      92        0   {<\n>}-{ , , - : , , , . . - , ,...}
      92        0   {t}-{r}
      92        0   {}-{en}
      89        0   {e}-{a}
      89        0   {l}-{}
      88        0   {<\n>}-{ , , , , , . , - , , . ,...}
      88        0   {n}-{r}
      86        0   {}-{et}
      85        0   {r}-{t}
      84        0   {<\n>}-{ - - - , , . . . ? , , ,...}
      82        0   {d}-{}
      82        0   {}-{ d}
      80        0   {<\n>}-{ , , - - , . , ? - . ? ....}
      80        0   {�}-{�}
      78        0   {}-{i}
      78        0   {}-{oc}
      76        0   {<\n>}-{ - , - . . - . - , - , -...}
      76        0   {<\n>}-{ . - . , - . - - - . . -...}
      75        0   {och}-{, ,}
      72        0   {}-{ ſ}
      71       71   {}-{�kt Herr btriot (ty om l...}
      71        0   {ett<\n>}-{, . , - , - , : - . , , ...}
      71        0   {i}-{}
      70        0   {<\n>}-{ , , , . - , , , : , , -...}
      70        0   {<\n>}-{ : - . , : , - - - - , ,...}
      70        0   {}-{� fräckoch trefwen ut �...}
      69        0   {m}-{}
      69        0   {}-{k}
      68        0   {h}-{}
      68        0   {}-{er}
      67        0   {jag<\n>}-{: , , . - , : , . - , , ...}
      65        0   {,}-{n}
      65        0   {han<\n>}-{, , - , - , . : - , . , ...}
