UNLV-ISRI OCR Word Accuracy Report Version 5.1
----------------------------------------------
   64928   Words
   39971   Misrecognized
   38.44%  Accuracy

Stopwords
   Count   Missed   %Right   Length
     854      423    50.47        1
    1345      799    40.59        2
     615      383    37.72        3
     324      225    30.56        4
    3138     1830    41.68    Total

Non-stopwords
   Count   Missed   %Right   Length
   12033     3293    72.63        1
   12498     7156    42.74        2
   12537     8140    35.07        3
    8030     6104    23.99        4
    6236     4822    22.67        5
    4421     3532    20.11        6
    2585     2114    18.22        7
    1511     1297    14.16        8
     930      799    14.09        9
     527      458    13.09       10
     274      238    13.14       11
     134      124     7.46       12
      48       42    12.50       13
      11        8    27.27       14
      10        9    10.00       15
       4        4     0.00       16
       1        1     0.00       17
   61790    38141    38.27    Total

Distinct Non-stopwords
   Count   Missed   %Right   Occurs
   25802    19935    22.74        1
    4196     2105    49.83        2
    1626      555    65.87        3
     788      184    76.65        4
     436       69    84.17        5
     293       40    86.35        6
     223       22    90.13        7
     149       10    93.29        8
     101        2    98.02        9
      67        0   100.00       10
     563       10    98.22      >10
   34244    22932    33.03    Total

Phrases
   Count   Missed   %Right   Length
   64928    39971    38.44        1
   64730    49643    23.31        2
   64532    53671    16.83        3
   64334    55960    13.02        4
   64136    57474    10.39        5
   63938    58587     8.37        6
   63740    59414     6.79        7
   63542    60039     5.51        8

Stopwords
   Count   Missed   %Right   
     158       64    59.49   a
      43       29    32.56   all
      79       55    30.38   an
      10        9    10.00   are
      14        9    35.71   as
     790      416    47.34   at
      35       28    20.00   be
       1        1     0.00   been
       2        2     0.00   by
       4        4     0.00   do
       6        5    16.67   for
       4        4     0.00   get
       5        4    20.00   he
       5        5     0.00   her
       3        2    33.33   him
     696      359    48.42   i
       1        1     0.00   if
     231      158    31.60   in
      13       11    15.38   is
      35       15    57.14   it
       3        2    33.33   like
       2        2     0.00   long
     303      173    42.90   man
       9        9     0.00   may
      20       17    15.00   me
       5        4    20.00   more
       4        3    25.00   no
       3        2    33.33   of
      44       22    50.00   on
      19       14    26.32   or
       3        3     0.00   so
       2        1    50.00   than
     230      145    36.96   the
      80       57    28.75   them
     226      155    31.42   then
      10        6    40.00   to
       1        1     0.00   too
      14       10    28.57   up
      13       13     0.00   us
       1        1     0.00   was
       6        6     0.00   we
       5        3    40.00   will

Non-stopwords
   Count   Missed   %Right   
       4        1    75.00   aak
       2        2     0.00   ab
       1        1     0.00   abbotiã
       1        1     0.00   abeth
       1        1     0.00   abietis
       1        1     0.00   abjicite
       1        1     0.00   ablad
       1        1     0.00   abrotani
       3        3     0.00   abå
       1        1     0.00   ac
       1        1     0.00   academiae
       1        1     0.00   academien
       1        1     0.00   accenditur
       1        1     0.00   accurat
       2        2     0.00   accã
       1        1     0.00   achille
      13       11    15.38   acht
       2        2     0.00   achta
       3        2    33.33   achtar
       2        2     0.00   achtas
       1        1     0.00   achtat
       1        0   100.00   achte
       1        0   100.00   achtig
       1        1     0.00   achtigt
       1        1     0.00   achtmodig
       1        1     0.00   achtmodige
       1        0   100.00   achtning
       1        1     0.00   achtå
       1        1     0.00   acidul
       5        3    40.00   ack
       1        1     0.00   aconitum
       1        1     0.00   acontias
       1        1     0.00   acriå
       1        1     0.00   acuerande
       4        4     0.00   ad
       1        1     0.00   adam
       2        1    50.00   adamus
      22       17    22.73   ade
       2        0   100.00   adel
       1        1     0.00   adelen
       1        1     0.00   adelgunda
       3        3     0.00   adelig
       1        0   100.00   adeln
       1        1     0.00   adels
       1        1     0.00   adelsman
       3        3     0.00   adelã
       1        1     0.00   aderton
       1        1     0.00   ades
       1        1     0.00   adjecti
       2        2     0.00   adolph
       1        1     0.00   adolphs
       1        1     0.00   adt
       1        0   100.00   adwo
       4        4     0.00   adâ
       1        1     0.00   adå
       8        7    12.50   ae
       1        1     0.00   aeademier
       1        1     0.00   aegaeon
       1        1     0.00   aegina
       1        1     0.00   aeneae
       4        4     0.00   aeneid
       1        1     0.00   aequa
       1        1     0.00   aequalia
       1        1     0.00   aequato
       1        1     0.00   aeru
       1        1     0.00   aetas
       2        2     0.00   aetna
       1        1     0.00   aevi
       2        2     0.00   aeå
     461      244    47.07   af
       1        1     0.00   afbedier
       1        0   100.00   afbeet
       1        1     0.00   afbildas
       1        1     0.00   afcopierande
     114      102    10.53   aff
       1        1     0.00   affatte
       1        1     0.00   affction
       3        3     0.00   affecter
       1        0   100.00   affeldige
       1        1     0.00   affellingar
       1        1     0.00   affgã
       1        1     0.00   affhandlat
       1        1     0.00   afflagt
       2        2     0.00   affmã
       1        1     0.00   afft
       1        1     0.00   afftagandhe
       1        1     0.00   afftalt
       3        3     0.00   affton
       3        3     0.00   afftonen
       1        1     0.00   afftoná
       1        1     0.00   affwã
       5        5     0.00   affã
       2        2     0.00   affå
       1        0   100.00   afgift
       1        0   100.00   afgiort
       1        0   100.00   afgjã
       1        1     0.00   afgrund
       1        1     0.00   afgudadyrkare
       1        1     0.00   afgudens
       1        1     0.00   afgudomen
       1        1     0.00   afhugges
       1        1     0.00   afleda
       1        0   100.00   aflegne
       1        1     0.00   aflif
       1        1     0.00   aflopp
       1        1     0.00   aflupit
       5        2    60.00   aflã
       1        1     0.00   afmattas
       2        2     0.00   afmã
       1        1     0.00   afplockas
       1        0   100.00   afplã
       1        1     0.00   afras
       2        2     0.00   africa
       1        1     0.00   aft
       1        1     0.00   aften
       1        0   100.00   aftig
       1        1     0.00   afton
       1        1     0.00   aftrã
       1        1     0.00   aftwinga
       1        1     0.00   afundad
       3        2    33.33   afwenda
       1        1     0.00   afwendt
       1        1     0.00   afwiker
       3        3     0.00   afwund
       1        1     0.00   afwunden
       2        2     0.00   afwã
      27       17    37.04   afå
       1        1     0.00   ag
       2        1    50.00   aga
       2        1    50.00   agde
       8        6    25.00   agdt
       2        2     0.00   age
       1        1     0.00   agenors
       1        1     0.00   agens
       1        1     0.00   aggar
       1        1     0.00   agha
       1        1     0.00   agitatur
       7        5    28.57   agn
       1        1     0.00   agor
       1        0   100.00   agricolari
       1        1     0.00   agrostis
      12        8    33.33   agt
       1        1     0.00   agta
       3        1    66.67   ahen
       1        1     0.00   aiae
       1        1     0.00   aija
       1        1     0.00   aira
      13        9    30.77   ak
       7        1    85.71   aka
       2        1    50.00   akad
       2        1    50.00   akade
       1        1     0.00   akande
       4        4     0.00   akar
       3        1    66.67   akas
       2        2     0.00   akat
      10        5    50.00   aken
       2        2     0.00   akens
      26       17    34.62   aker
       2        2     0.00   akerne
       2        1    50.00   akers
       1        0   100.00   akerwepling
       1        1     0.00   aknar
       1        1     0.00   aknat
       3        3     0.00   akt
       2        1    50.00   akta
       1        1     0.00   aktå
       7        6    14.29   al
       9        6    33.33   ala
       1        1     0.00   alamodiå
       1        1     0.00   alarm
       1        1     0.00   alb
       1        1     0.00   albaneå
       1        0   100.00   albanien
       1        1     0.00   albano
      11       11     0.00   albo
       3        3     0.00   album
       1        1     0.00   alchymiå
       1        1     0.00   alcmena
       1        1     0.00   alde
      29       23    20.69   aldeles
       1        0   100.00   aldenå
       1        0   100.00   aldrabã
       1        1     0.00   aldrafijna
       1        0   100.00   aldralã
       1        1     0.00   aldraringaå
       1        1     0.00   aldraå
       8        7    12.50   aldrig
       4        3    25.00   aldrigh
       1        1     0.00   alecto
       1        1     0.00   aledes
       2        1    50.00   alenaå
       1        1     0.00   alexan
       1        1     0.00   alexander
       1        1     0.00   alexandro
       1        1     0.00   alexipharmaca
       1        1     0.00   alffuar
       1        1     0.00   alffwarå
       1        0   100.00   alfware
       1        1     0.00   alfwares
       3        2    33.33   alfwarå
       1        1     0.00   algebraiå
       1        1     0.00   algement
       2        2     0.00   alia
       1        1     0.00   alictarius
       1        1     0.00   alidet
       1        1     0.00   alig
       1        1     0.00   aligen
       1        0   100.00   aligh
       1        0   100.00   alighan
       1        1     0.00   alis
       1        1     0.00   alium
      73       52    28.77   alla
       3        3     0.00   allahanda
       1        1     0.00   allan
       1        1     0.00   allareda
       1        0   100.00   allaredan
       2        0   100.00   allaå
       1        1     0.00   alldenå
       2        1    50.00   alldrafã
       1        1     0.00   alldramã
      49       36    26.53   alle
       5        4    20.00   allehanda
       1        1     0.00   allemans
       5        2    60.00   allena
      40       29    27.50   allenaå
       1        0   100.00   alleneå
       1        1     0.00   aller
       3        1    66.67   alleå
       1        1     0.00   allium
       6        6     0.00   allmogen
       7        6    14.29   allmã
       9        8    11.11   allom
       1        1     0.00   allpes
       1        0   100.00   allwiå
       1        1     0.00   allã
       1        1     0.00   alm
       1        1     0.00   almar
       1        1     0.00   almeã
       1        0   100.00   almoge
       2        2     0.00   almogen
       5        4    20.00   almã
       9        6    33.33   aln
       2        1    50.00   alnar
       3        2    33.33   alnars
       2        2     0.00   alnen
       1        1     0.00   alon
       1        1     0.00   alopecurus
       2        2     0.00   alphonå
       3        3     0.00   alrahã
       1        1     0.00   alsingen
       2        2     0.00   alsmã
       2        2     0.00   alswã
