Average:	 WordAccuracy: 0.368755241811397 	 CharacterAccuracy: 0.7782119029842741 
argus_ed_pg_a0098.txt 	 WordAccuracy: 0.3489208633093525 	 CharacterAccuracy: 0.823566477630749 
argus_ed_pg_a0067.txt 	 WordAccuracy: 0.28378378378378377 	 CharacterAccuracy: 0.686390532544378 
argus_ed_pg_a0107.txt 	 WordAccuracy: 0.5384615384615384 	 CharacterAccuracy: 0.860011474469305 
argus_ed_pg_a0106.txt 	 WordAccuracy: 0.3670212765957447 	 CharacterAccuracy: 0.677905944986690 
argus_ed_pg_a0112.txt 	 WordAccuracy: 0.4892086330935252 	 CharacterAccuracy: 0.848600508905852 
argus_ed_pg_a0072.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0. 
argus_ed_pg_a0066.txt 	 WordAccuracy: 0.35374149659863946 	 CharacterAccuracy: 0.773766546329723 
argus_ed_pg_a0099.txt 	 WordAccuracy: 0.43962848297213625 	 CharacterAccuracy: 0.847137298499166 
argus_ed_pg_a0058.txt 	 WordAccuracy: 0.2491349480968858 	 CharacterAccuracy: 0.678440925700365 
argus_ed_pg_a0070.txt 	 WordAccuracy: 0.2791519434628975 	 CharacterAccuracy: 0.815131177547284 
argus_ed_pg_a0064.txt 	 WordAccuracy: 0.330188679245283 	 CharacterAccuracy: 0.831189710610932 
argus_ed_pg_a0138.txt 	 WordAccuracy: 0.36015325670498083 	 CharacterAccuracy: 0.81967213114754 
argus_ed_pg_a0104.txt 	 WordAccuracy: 0.3624454148471616 	 CharacterAccuracy: 0.832859174964438 
argus_ed_pg_a0110.txt 	 WordAccuracy: 0.43416370106761565 	 CharacterAccuracy: 0.84306569343065 
argus_ed_pg_a0111.txt 	 WordAccuracy: 0.4536741214057508 	 CharacterAccuracy: 0.832560834298957 
argus_ed_pg_a0139.txt 	 WordAccuracy: 0.39603960396039606 	 CharacterAccuracy: 0.827700831024930 
argus_ed_pg_a0071.txt 	 WordAccuracy: 0.24242424242424243 	 CharacterAccuracy: 0.687450039968025 
argus_ed_pg_a0059.txt 	 WordAccuracy: 0.34210526315789475 	 CharacterAccuracy: 0.781938325991189 
argus_ed_pg_a0075.txt 	 WordAccuracy: 0.40273037542662116 	 CharacterAccuracy: 0.824893227577791 
argus_ed_pg_a0061.txt 	 WordAccuracy: 0.3475609756097561 	 CharacterAccuracy: 0.775216138328530 
argus_ed_pg_a0101.txt 	 WordAccuracy: 0.4897959183673469 	 CharacterAccuracy: 0.860812425328554 
argus_ed_pg_a0115.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.409893992932862 
argus_ed_pg_a0128.txt 	 WordAccuracy: 0.5596330275229358 	 CharacterAccuracy: 0.879936808846761 
argus_ed_pg_a0114.txt 	 WordAccuracy: 1.0 	 CharacterAccuracy: 1. 
argus_ed_pg_a0100.txt 	 WordAccuracy: 0.4392523364485981 	 CharacterAccuracy: 0.855821545157780 
argus_ed_pg_a0048.txt 	 WordAccuracy: 0.358974358974359 	 CharacterAccuracy: 0.770240700218818 
argus_ed_pg_a0060.txt 	 WordAccuracy: 0.35947712418300654 	 CharacterAccuracy: 0.822410147991543 
argus_ed_pg_a0074.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.336677814938684 
argus_ed_pg_a0062.txt 	 WordAccuracy: 0.35185185185185186 	 CharacterAccuracy: 0.837571354436948 
argus_ed_pg_a0076.txt 	 WordAccuracy: 0.56957928802589 	 CharacterAccuracy: 0.871896162528216 
argus_ed_pg_a0116.txt 	 WordAccuracy: 0.325 	 CharacterAccuracy: 0.827257431295569 
