Average:	 WordAccuracy: 0.21222362845587972 	 CharacterAccuracy: 0.6577170624239581 
argus_lb3026335_5_0103.txt 	 WordAccuracy: 0.13058419243986255 	 CharacterAccuracy: 0.547418967587034 
argus_lb3026335_5_0117.txt 	 WordAccuracy: 0.286144578313253 	 CharacterAccuracy: 0.728982300884955 
argus_lb3026335_5_0088.txt 	 WordAccuracy: 0.1306122448979592 	 CharacterAccuracy: 0.598601398601398 
argus_lb3026335_5_0077.txt 	 WordAccuracy: 0.31545741324921134 	 CharacterAccuracy: 0.758620689655172 
argus_lb3026335_5_0063.txt 	 WordAccuracy: 0.060240963855421686 	 CharacterAccuracy: 0.506547930853850 
argus_lb3026335_5_0062.txt 	 WordAccuracy: 0.19753086419753085 	 CharacterAccuracy: 0.765438505448884 
argus_lb3026335_5_0076.txt 	 WordAccuracy: 0.12297734627831715 	 CharacterAccuracy: 0.586343115124153 
argus_lb3026335_5_0116.txt 	 WordAccuracy: 0.2625 	 CharacterAccuracy: 0.728547392035894 
argus_lb3026335_5_0102.txt 	 WordAccuracy: 0.10714285714285714 	 CharacterAccuracy: 0.610081112398609 
argus_lb3026335_5_0114.txt 	 WordAccuracy: 1.0 	 CharacterAccuracy: 1. 
argus_lb3026335_5_0100.txt 	 WordAccuracy: 0.2585669781931464 	 CharacterAccuracy: 0.761697497279651 
argus_lb3026335_5_0128.txt 	 WordAccuracy: 0.13761467889908258 	 CharacterAccuracy: 0.611374407582938 
argus_lb3026335_5_0060.txt 	 WordAccuracy: 0.0784313725490196 	 CharacterAccuracy: 0.697674418604651 
argus_lb3026335_5_0074.txt 	 WordAccuracy: 0.22784810126582278 	 CharacterAccuracy: 0.661092530657748 
argus_lb3026335_5_0048.txt 	 WordAccuracy: 0.02564102564102564 	 CharacterAccuracy: 0.553610503282275 
argus_lb3026335_5_0075.txt 	 WordAccuracy: 0.17747440273037543 	 CharacterAccuracy: 0.68944478340451 
argus_lb3026335_5_0061.txt 	 WordAccuracy: 0.18902439024390244 	 CharacterAccuracy: 0.726224783861671 
argus_lb3026335_5_0101.txt 	 WordAccuracy: 0.17346938775510204 	 CharacterAccuracy: 0.658900836320191 
argus_lb3026335_5_0115.txt 	 WordAccuracy: 0.2361111111111111 	 CharacterAccuracy: 0.739693757361601 
argus_lb3026335_5_0139.txt 	 WordAccuracy: 0.24752475247524752 	 CharacterAccuracy: 0.760664819944598 
argus_lb3026335_5_0111.txt 	 WordAccuracy: 0.22364217252396165 	 CharacterAccuracy: 0.736384704519119 
argus_lb3026335_5_0059.txt 	 WordAccuracy: 0.09210526315789473 	 CharacterAccuracy: 0.627753303964757 
argus_lb3026335_5_0071.txt 	 WordAccuracy: 0.2077922077922078 	 CharacterAccuracy: 0.681854516386890 
argus_lb3026335_5_0070.txt 	 WordAccuracy: 0.2226148409893993 	 CharacterAccuracy: 0.739475289810860 
