Average:	 WordAccuracy: 0.3975454633939203 	 CharacterAccuracy: 0.735245572701224 
argus_ed_pg_a0098.txt 	 WordAccuracy: 0.3776978417266187 	 CharacterAccuracy: 0.769376181474480 
argus_ed_pg_a0067.txt 	 WordAccuracy: 0.30405405405405406 	 CharacterAccuracy: 0.687573964497041 
argus_ed_pg_a0107.txt 	 WordAccuracy: 0.5673076923076923 	 CharacterAccuracy: 0.858864027538726 
argus_ed_pg_a0106.txt 	 WordAccuracy: 0.42021276595744683 	 CharacterAccuracy: 0.761313220940550 
argus_ed_pg_a0112.txt 	 WordAccuracy: 0.5107913669064749 	 CharacterAccuracy: 0.848600508905852 
argus_ed_pg_a0072.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0. 
argus_ed_pg_a0066.txt 	 WordAccuracy: 0.42857142857142855 	 CharacterAccuracy: 0.758122743682310 
argus_ed_pg_a0099.txt 	 WordAccuracy: 0.4520123839009288 	 CharacterAccuracy: 0.807115063924402 
argus_ed_pg_a0058.txt 	 WordAccuracy: 0.31833910034602075 	 CharacterAccuracy: 0.676613885505481 
argus_ed_pg_a0070.txt 	 WordAccuracy: 0.31802120141342755 	 CharacterAccuracy: 0.683953630262355 
argus_ed_pg_a0064.txt 	 WordAccuracy: 0.36477987421383645 	 CharacterAccuracy: 0.772775991425509 
argus_ed_pg_a0138.txt 	 WordAccuracy: 0.3946360153256705 	 CharacterAccuracy: 0.763556116015132 
argus_ed_pg_a0104.txt 	 WordAccuracy: 0.40611353711790393 	 CharacterAccuracy: 0.798008534850640 
argus_ed_pg_a0110.txt 	 WordAccuracy: 0.501779359430605 	 CharacterAccuracy: 0.845498783454987 
argus_ed_pg_a0111.txt 	 WordAccuracy: 0.4696485623003195 	 CharacterAccuracy: 0.818076477404403 
argus_ed_pg_a0139.txt 	 WordAccuracy: 0.44554455445544555 	 CharacterAccuracy: 0.770083102493074 
argus_ed_pg_a0071.txt 	 WordAccuracy: 0.26406926406926406 	 CharacterAccuracy: 0.63629096722621 
argus_ed_pg_a0059.txt 	 WordAccuracy: 0.3815789473684211 	 CharacterAccuracy: 0.71035242290748 
argus_ed_pg_a0075.txt 	 WordAccuracy: 0.3856655290102389 	 CharacterAccuracy: 0.796827333740085 
argus_ed_pg_a0061.txt 	 WordAccuracy: 0.39634146341463417 	 CharacterAccuracy: 0.734870317002881 
argus_ed_pg_a0101.txt 	 WordAccuracy: 0.48639455782312924 	 CharacterAccuracy: 0.837514934289127 
argus_ed_pg_a0115.txt 	 WordAccuracy: 0.0625 	 CharacterAccuracy: 0.511189634864546 
argus_ed_pg_a0128.txt 	 WordAccuracy: 0.4954128440366973 	 CharacterAccuracy: 0.830963665086887 
argus_ed_pg_a0114.txt 	 WordAccuracy: 1.0 	 CharacterAccuracy: 1. 
argus_ed_pg_a0100.txt 	 WordAccuracy: 0.4485981308411215 	 CharacterAccuracy: 0.812840043525571 
argus_ed_pg_a0048.txt 	 WordAccuracy: 0.4230769230769231 	 CharacterAccuracy: 0.77461706783369 
argus_ed_pg_a0060.txt 	 WordAccuracy: 0.38562091503267976 	 CharacterAccuracy: 0.795983086680761 
argus_ed_pg_a0074.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.401337792642140 
argus_ed_pg_a0062.txt 	 WordAccuracy: 0.36419753086419754 	 CharacterAccuracy: 0.732745199792423 
argus_ed_pg_a0076.txt 	 WordAccuracy: 0.5533980582524272 	 CharacterAccuracy: 0.862302483069977 
