Average:	 WordAccuracy: 0.030622998249426592 	 CharacterAccuracy: 0.5706214344184909 
lb3026335_5_0198.txt 	 WordAccuracy: 0.006825938566552901 	 CharacterAccuracy: 0.547770700636942 
lb3026335_5_0167.txt 	 WordAccuracy: 0.14018691588785046 	 CharacterAccuracy: 0.618586088939566 
lb3026335_5_0173.txt 	 WordAccuracy: 0.013793103448275862 	 CharacterAccuracy: 0.618803418803418 
lb3026335_5_0013.txt 	 WordAccuracy: 0.0707395498392283 	 CharacterAccuracy: 0.604716451431779 
lb3026335_5_0007.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.506464305789769 
lb3026335_5_0006.txt 	 WordAccuracy: 0.016556291390728478 	 CharacterAccuracy: 0.613557358053302 
lb3026335_5_0012.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.569417786308381 
lb3026335_5_0172.txt 	 WordAccuracy: 0.003289473684210526 	 CharacterAccuracy: 0.591732729331823 
lb3026335_5_0166.txt 	 WordAccuracy: 0.0 	 CharacterAccuracy: 0.573027420257414 
lb3026335_5_0199.txt 	 WordAccuracy: 0.054838709677419356 	 CharacterAccuracy: 0.462138084632516 
